Municípios;Código municipal;UF;% do total geral
Boquim;2800670;SE;96,18
Boquira;2904100;BA;94,12
Borá;3507209;SP;100
Boracéia;3507308;SP;100
Borba;1300805;AM;81,54
Borborema;2502706;PB;97,77
Borborema;3507407;SP;99,95
Borda da Mata;3108305;MG;99,92
Borebi;3507456;SP;100
Borrazópolis;4103305;PR;99,93
Bossoroca;4302501;RS;99,96
Botelhos;3108404;MG;99,95
Botucatu;3507506;SP;99,97
Botumirim;3108503;MG;93,53
Botuporã;2904209;BA;96,21
Botuverá;4202701;SC;100
Bozano;4302584;RS;99,5
Braço do Norte;4202800;SC;99,93
Braço do Trombudo;4202859;SC;99,93
Braga;4302600;RS;99,43
Bragança;1501709;PA;90,38
Bragança Paulista;3507605;SP;99,94
Braganey;4103354;PR;99,84
Branquinha;2701100;AL;94,39
Brás Pires;3108701;MG;99,82
Brasil Novo;1501725;PA;89,12
Brasilândia;5002308;MS;99,91
Brasilândia de Minas;3108552;MG;99,79
Brasilândia do Sul;4103370;PR;100
Brasilândia do Tocantins;1703602;TO;99,27
Brasiléia;1200104;AC;87,39
