Municípios;Código municipal;UF;habitantes por km²
Matupá;5105606;MT;3,84
Maturéia;2509396;PB;77,46
Matutina;3141207;MG;14,62
Mauá;3529401;SP;6.753,01
Mauá da Serra;4115754;PR;86,62
Maués;1302900;AM;1,53
Maurilândia;5213004;GO;26,42
Maurilândia do Tocantins;1712801;TO;4,2
Mauriti;2308104;CE;42,22
Maxaranguape;2407500;RN;77,61
Maximiliano de Almeida;4312203;RS;20,11
Mazagão;1600402;AP;1,65
Medeiros;3141306;MG;4,12
Medeiros Neto;2921104;BA;16,92
Medianeira;4115804;PR;165,39
Medicilândia;1504455;PA;3,28
Medina;3141405;MG;14,04
Meleiro;4210803;SC;37,58
Melgaço;1504505;PA;4,12
Mendes;3302809;RJ;183,61
Mendes Pimentel;3141504;MG;18,35
Mendonça;3529500;SP;31,56
Mercedes;4115853;PR;30,09
Mercês;3141603;MG;29,78
Meridiano;3529609;SP;20,04
Meruoca;2308203;CE;99,95
Mesópolis;3529658;SP;13,13
Mesquita;3141702;MG;18,33
Mesquita;3302858;RJ;4.059,54
Messias;2705200;AL;134,95
Messias Targino;2407609;RN;29,97
Miguel Alves;2206209;PI;23,09
Miguel Calmon;2921203;BA;15,42
Miguel Leão;2206308;PI;14,11
Miguel Pereira;3302908;RJ;92,32
Miguelópolis;3529708;SP;23,68
Milagres;2308302;CE;44,72
Milagres;2921302;BA;26,34
Milagres do Maranhão;2106672;MA;13,89
Milhã;2308351;CE;28,13
Milton Brandão;2206357;PI;5
Mimoso de Goiás;5213053;GO;1,89
Mimoso do Sul;3203403;ES;28,15
Minaçu;5213087;GO;9,49
Minador do Negrão;2705309;AL;28,93
Minas do Leão;4312252;RS;17,69
Minas Novas;3141801;MG;13,47
Minduri;3141900;MG;17,02
Mineiros;5213103;GO;7,75
Mineiros do Tietê;3529807;SP;52,66
Ministro Andreazza;1101203;RO;8,1
Mira Estrela;3530003;SP;14,42
Mirabela;3142007;MG;18,87
Miracatu;3529906;SP;18,53
Miracema;3303005;RJ;88,64
Miracema do Tocantins;1713205;TO;6,97
Mirador;2106706;MA;2,47
Mirador;4115903;PR;10,09
Miradouro;3142106;MG;29,73
Miraguaí;4312302;RS;33,73
Miraí;3142205;MG;42,51
Miraíma;2308377;CE;20,03
Miranda;5005608;MS;4,67
Miranda do Norte;2106755;MA;69,96
Mirandiba;2609303;PE;17,24
Mirandópolis;3530102;SP;30,49
Mirangaba;2921401;BA;8,98
Miranorte;1713304;TO;12,29
Mirante;2921450;BA;8,69
Mirante da Serra;1101302;RO;7,75
Mirante do Paranapanema;3530201;SP;12,85
Miraselva;4116000;PR;21,77
Mirassol;3530300;SP;260,4
Mirassol d'Oeste;5105622;MT;24,68
Mirassolândia;3530409;SP;28,11
Miravânia;3142254;MG;6,62
Mirim Doce;4210852;SC;7,43
Mirinzal;2106805;MA;20,35
Missal;4116059;PR;34,11
Missão Velha;2308401;CE;60,04
Mocajuba;1504604;PA;31,22
Mococa;3530508;SP;79,14
Modelo;4210902;SC;44,18
Moeda;3142304;MG;33,04
Moema;3142403;MG;37,24
Mogeiro;2509404;PB;64,92
Mogi das Cruzes;3530607;SP;633,65
Mogi Guaçu;3530706;SP;189,06
Mogi Mirim;3530805;SP;185,97
Moiporá;5213400;GO;3,73
Moita Bonita;2804102;SE;115,81
Moju;1504703;PA;9,25
Mojuí dos Campos;1504752;PA;4,71
Mombaça;2308500;CE;17,84
Mombuca;3530904;SP;27,84
Monção;2106904;MA;22,28
Monções;3531001;SP;18,56
Mondaí;4211009;SC;50,26
Mongaguá;3531100;SP;433,97
Monjolos;3142502;MG;3,33
Monsenhor Gil;2206407;PI;18,06
Monsenhor Hipólito;2206506;PI;18,87
Monsenhor Paulo;3142601;MG;38,51
Monsenhor Tabosa;2308609;CE;19,21
Montadas;2509503;PB;182,81
Montalvânia;3142700;MG;9,35
Montanha;3203502;ES;17,2
Montanhas;2407708;RN;139,2
Montauri;4312351;RS;18,23
Monte Alegre;1504802;PA;3,31
Monte Alegre;2407807;RN;109,02
Monte Alegre de Goiás;5213509;GO;2,14
Monte Alegre de Minas;3142809;MG;7,77
Monte Alegre de Sergipe;2804201;SE;37,05
Monte Alegre do Piauí;2206605;PI;4,41
Monte Alegre do Sul;3531209;SP;78,21
Monte Alegre dos Campos;4312377;RS;5,79
Monte Alto;3531308;SP;137,12
Monte Aprazível;3531407;SP;44,96
Monte Azul;3142908;MG;20,3
Monte Azul Paulista;3531506;SP;68,89
Monte Belo;3143005;MG;30,97
Monte Belo do Sul;4312385;RS;36,67
Monte Carlo;4211058;SC;47,66
Monte Carmelo;3143104;MG;35,51
Monte Castelo;3531605;SP;18,08
Monte Castelo;4211108;SC;13,8
Monte das Gameleiras;2407906;RN;31,63
Monte do Carmo;1713601;TO;1,58
Monte Formoso;3143153;MG;11,36
Monte Horebe;2509602;PB;37,12
Monte Mor;3531803;SP;268,79
Monte Negro;1101401;RO;5,98
Monte Santo;2921500;BA;15,75
Monte Santo de Minas;3143203;MG;35,13
Monte Santo do Tocantins;1713700;TO;2,23
Monte Sião;3143401;MG;82,61
Monteiro;2509701;PB;32,52
Monteiro Lobato;3531704;SP;12,44
Monteirópolis;2705408;AL;82,95
Montenegro;4312401;RS;151,34
Montes Altos;2107001;MA;6,12
Montes Claros;3143302;MG;115,39
Montes Claros de Goiás;5213707;GO;3,02
Montezuma;3143450;MG;6,09
Montividiu;5213756;GO;6,7
Montividiu do Norte;5213772;GO;2,83
Morada Nova;2308708;CE;22,23
Morada Nova de Minas;3143500;MG;4,35
Moraújo;2308807;CE;19,92
Moreilândia;2614303;PE;26,07
Moreira Sales;4116109;PR;31,59
Moreno;2609402;PE;284,72
Mormaço;4312427;RS;18,85
Morpará;2921609;BA;3,82
Morretes;4116208;PR;26,74
Morrinhos;2308906;CE;55,28
Morrinhos;5213806;GO;18,04
Morrinhos do Sul;4312443;RS;18,48
Morro Agudo;3531902;SP;20,12
Morro Agudo de Goiás;5213855;GO;8,7
Morro Cabeça no Tempo;2206654;PI;1,98
Morro da Fumaça;4211207;SC;223,83
Morro da Garça;3143609;MG;5,81
Morro do Chapéu;2921708;BA;5,85
Morro do Chapéu do Piauí;2206670;PI;19,56
Morro do Pilar;3143708;MG;6,56
Morro Grande;4211256;SC;11,57
Morro Redondo;4312450;RS;24,71
Morro Reuter;4312476;RS;67,43
Morros;2107100;MA;10,84
Mortugaba;2921807;BA;21,1
Morungaba;3532009;SP;93,49
Mossâmedes;5213905;GO;6,8
Mossoró;2408003;RN;126,03
Mostardas;4312500;RS;6,11
Motuca;3532058;SP;17,64
Mozarlândia;5214002;GO;8,48
Muaná;1504901;PA;12,06
Mucajaí;1400308;RR;1,47
Mucambo;2309003;CE;71,11
Mucugê;2921906;BA;4,93
Muçum;4312609;RS;41,36
Mucuri;2922003;BA;21,24
Mucurici;3203601;ES;10,11
Muitos Capões;4312617;RS;2,41
Muliterno;4312625;RS;15,49
Mulungu;2309102;CE;107,9
Mulungu;2509800;PB;46,95
Mulungu do Morro;2922052;BA;20,34
Mundo Novo;2922102;BA;11,6
Mundo Novo;5005681;MS;40,12
Mundo Novo;5214051;GO;2,89
Munhoz;3143807;MG;38,9
Munhoz de Melo;4116307;PR;28,84
Muniz Ferreira;2922201;BA;68,78
Muniz Freire;3203700;ES;26,74
Muquém do São Francisco;2922250;BA;2,71
Muqui;3203809;ES;42
Muriaé;3143906;MG;123,69
Muribeca;2804300;SE;105,26
Murici;2705507;AL;60,25
Murici dos Portelas;2206696;PI;20,59
Muricilândia;1713957;TO;2,82
Muritiba;2922300;BA;332,6
Murutinga do Sul;3532108;SP;14,9
Mutuípe;2922409;BA;72,64
Mutum;3144003;MG;22,09
Mutunópolis;5214101;GO;3,73
Muzambinho;3144102;MG;53,4
Nacip Raydan;3144201;MG;10,53
Nantes;3532157;SP;9,28
Nanuque;3144300;MG;23,08
Não-Me-Toque;4312658;RS;49,48
Naque;3144359;MG;49,56
Narandiba;3532207;SP;15,99
Natal;2408102;RN;4.488,03
Natalândia;3144375;MG;7,51
Natércia;3144409;MG;24,86
Natividade;1714203;TO;2,7
Natividade;3303104;RJ;38,94
Natividade da Serra;3532306;SP;8,4
Natuba;2509909;PB;44,24
Navegantes;4211306;SC;775,75
Naviraí;5005707;MS;15,82
Nazaré;1714302;TO;11,42
Nazaré;2922508;BA;97,12
Nazaré da Mata;2609501;PE;234,72
Nazaré do Piauí;2206704;PI;5,07
Nazaré Paulista;3532405;SP;55,84
Nazareno;3144508;MG;23,95
Nazarezinho;2510006;PB;37,28
Nazária;2206720;PI;28,32
Nazário;5214408;GO;29,13
Neópolis;2804409;SE;60,54
Nepomuceno;3144607;MG;42,95
Nerópolis;5214507;GO;155,98
Neves Paulista;3532504;SP;44,28
Nhamundá;1303007;AM;1,43
Nhandeara;3532603;SP;22,59
Nicolau Vergueiro;4312674;RS;12,46
Nilo Peçanha;2922607;BA;31,02
Nilópolis;3303203;RJ;7.568,4
Nina Rodrigues;2107209;MA;24,83
Ninheira;3144656;MG;9,55
Nioaque;5005806;MS;3,38
Nipoã;3532702;SP;34,52
Niquelândia;5214606;GO;3,55
Nísia Floresta;2408201;RN;103,8
Niterói;3303302;RJ;3.601,67
Nobres;5105903;MT;3,96
Nonoai;4312708;RS;29,25
Nordestina;2922656;BA;39,8
Normandia;1400407;RR;2,01
Nortelândia;5106000;MT;4,46
Nossa Senhora Aparecida;2804458;SE;27,09
Nossa Senhora da Glória;2804508;SE;54,34
Nossa Senhora das Dores;2804607;SE;51,81
Nossa Senhora das Graças;4116406;PR;19,75
Nossa Senhora de Lourdes;2804706;SE;74,83
Nossa Senhora de Nazaré;2206753;PI;14,65
Nossa Senhora do Livramento;5106109;MT;2,34
Nossa Senhora do Socorro;2804805;SE;1.240,69
Nossa Senhora dos Remédios;2206803;PI;23,82
Nova Aliança;3532801;SP;30,77
Nova Aliança do Ivaí;4116505;PR;10,08
Nova Alvorada;4312757;RS;21,25
Nova Alvorada do Sul;5006002;MS;5,42
Nova América;5214705;GO;11,16
Nova América da Colina;4116604;PR;25,33
Nova Andradina;5006200;MS;10,18
Nova Araçá;4312807;RS;65,6
Nova Aurora;4116703;PR;29,25
Nova Aurora;5214804;GO;6,84
Nova Bandeirantes;5106158;MT;1,43
Nova Bassano;4312906;RS;45,6
Nova Belém;3144672;MG;21,47
Nova Boa Vista;4312955;RS;21,79
Nova Brasilândia;5106208;MT;1,2
Nova Brasilândia D'Oeste;1100148;RO;9,21
Nova Bréscia;4313003;RS;29,56
Nova Campina;3532827;SP;22,05
Nova Canaã;2922706;BA;17,05
Nova Canaã do Norte;5106216;MT;1,97
Nova Canaã Paulista;3532843;SP;16,32
Nova Candelária;4313011;RS;31,37
Nova Cantu;4116802;PR;12,22
Nova Castilho;3532868;SP;5,79
Nova Colinas;2107258;MA;6,76
Nova Crixás;5214838;GO;1,75
Nova Cruz;2408300;RN;123,42
Nova Era;3144706;MG;48,18
Nova Erechim;4211405;SC;79,2
Nova Esperança;4116901;PR;66,2
Nova Esperança do Piriá;1504950;PA;7,29
Nova Esperança do Sudoeste;4116950;PR;26,85
Nova Esperança do Sul;4313037;RS;25,47
Nova Europa;3532900;SP;58,1
Nova Fátima;2922730;BA;22,97
Nova Fátima;4117008;PR;25,49
Nova Floresta;2510105;PB;204,41
Nova Friburgo;3303401;RJ;203,05
Nova Glória;5214861;GO;20,18
Nova Granada;3533007;SP;36,52
Nova Guarita;5108808;MT;4,09
Nova Guataporanga;3533106;SP;63,12
Nova Hartz;4313060;RS;322,34
Nova Ibiá;2922755;BA;31,99
Nova Iguaçu;3303500;RJ;1.509,6
Nova Iguaçu de Goiás;5214879;GO;4,81
Nova Independência;3533205;SP;17,39
Nova Iorque;2107308;MA;4,42
Nova Ipixuna;1504976;PA;8,92
Nova Itaberaba;4211454;SC;33,02
Nova Itarana;2922805;BA;16,37
Nova Lacerda;5106182;MT;1,4
Nova Laranjeiras;4117057;PR;9,98
Nova Lima;3144805;MG;260,18
Nova Londrina;4117107;PR;47,97
Nova Luzitânia;3533304;SP;38,43
Nova Mamoré;1100338;RO;2,53
Nova Marilândia;5108857;MT;1,85
Nova Maringá;5108907;MT;0,51
Nova Módica;3144904;MG;9,74
Nova Monte Verde;5108956;MT;1,62
Nova Mutum;5106224;MT;5,86
Nova Nazaré;5106174;MT;1,04
Nova Odessa;3533403;SP;840,5
Nova Olímpia;4117206;PR;42,78
Nova Olímpia;5106232;MT;12,32
Nova Olinda;1714880;TO;6,61
Nova Olinda;2309201;CE;54,49
Nova Olinda;2510204;PB;70,99
Nova Olinda do Maranhão;2107357;MA;5,84
Nova Olinda do Norte;1303106;AM;4,85
Nova Pádua;4313086;RS;22,83
Nova Palma;4313102;RS;17,76
Nova Palmeira;2510303;PB;13,53
Nova Petrópolis;4313201;RS;80,3
Nova Ponte;3145000;MG;13,14
Nova Porteirinha;3145059;MG;55,45
Nova Prata;4313300;RS;98,84
Nova Prata do Iguaçu;4117255;PR;36,02
Nova Ramada;4313334;RS;8,47
Nova Redenção;2922854;BA;13,33
Nova Resende;3145109;MG;42
Nova Roma;5214903;GO;1,44
Nova Roma do Sul;4313359;RS;23,14
Nova Rosalândia;1715002;TO;6,53
Nova Russas;2309300;CE;41,66
Nova Santa Bárbara;4117214;PR;54,42
Nova Santa Helena;5106190;MT;1,78
Nova Santa Rita;2207959;PI;4,48
Nova Santa Rita;4313375;RS;133,04
Nova Santa Rosa;4117222;PR;40,66
Nova Serrana;3145208;MG;373,67
Nova Soure;2922904;BA;25,06
Nova Tebas;4117271;PR;12,55
Nova Timboteua;1505007;PA;26,14
Nova Trento;4211504;SC;34,07
Nova Ubiratã;5106240;MT;0,93
Nova União;1101435;RO;7,68
Nova União;3136603;MG;34,33
Nova Venécia;3203908;ES;34,08
Nova Veneza;4211603;SC;46,31
Nova Veneza;5215009;GO;77,49
Nova Viçosa;2923001;BA;30,01
Nova Xavantina;5106257;MT;4,43
Novais;3533254;SP;37,46
Novo Acordo;1715101;TO;1,48
Novo Airão;1303205;AM;0,42
Novo Alegre;1715150;TO;9,21
Novo Aripuanã;1303304;AM;0,58
Novo Barreiro;4313490;RS;34,63
Novo Brasil;5215207;GO;5,43
Novo Cabrais;4313391;RS;18,49
Novo Cruzeiro;3145307;MG;15,84
Novo Gama;5215231;GO;539,84
Novo Hamburgo;4313409;RS;1.022,96
Novo Horizonte;2923035;BA;17,79
Novo Horizonte;3533502;SP;41,13
Novo Horizonte;4211652;SC;17,42
Novo Horizonte do Norte;5106273;MT;3,64
Novo Horizonte do Oeste;1100502;RO;9,09
Novo Horizonte do Sul;5006259;MS;5,56
Novo Itacolomi;4117297;PR;19,36
Novo Jardim;1715259;TO;1,84
Novo Lino;2705606;AL;46,49
Novo Machado;4313425;RS;14,61
Novo Mundo;5106265;MT;1,12
Novo Oriente;2309409;CE;29,07
Novo Oriente de Minas;3145356;MG;13,61
Novo Oriente do Piauí;2206902;PI;11,59
Novo Planalto;5215256;GO;2,96
Novo Progresso;1505031;PA;0,88
Novo Repartimento;1505064;PA;3,94
Novo Santo Antônio;2206951;PI;6,37
Novo Santo Antônio;5106315;MT;0,46
Novo São Joaquim;5106281;MT;1,32
Novo Tiradentes;4313441;RS;28,45
Novo Triunfo;2923050;BA;38,28
Novo Xingu;4313466;RS;20,61
Novorizonte;3145372;MG;16,83
Nuporanga;3533601;SP;21,22
Óbidos;1505106;PA;1,86
Ocara;2309458;CE;32,1
Ocauçu;3533700;SP;14,39
Oeiras;2207009;PI;14,12
Oeiras do Pará;1505205;PA;8,79
Oiapoque;1600501;AP;1,19
Olaria;3145406;MG;10,91
Óleo;3533809;SP;12,63
Olho d'Água;2510402;PB;10,44
Olho d'Água das Cunhãs;2107407;MA;25,77
Olho d'Água das Flores;2705705;AL;109,95
Olho d'Água do Borges;2408409;RN;27,66
Olho d'Água do Casado;2705804;AL;25,48
Olho D'Água do Piauí;2207108;PI;14,36
Olho d'Água Grande;2705903;AL;37,01
Olhos-d'Água;3145455;MG;2,57
Olímpia;3533908;SP;68,62
Olímpio Noronha;3145505;MG;46,77
Olinda;2609600;PE;8.474
Olinda Nova do Maranhão;2107456;MA;67,93
Olindina;2923100;BA;35,51
Olivedos;2510501;PB;11,38
Oliveira;3145604;MG;43,76
Oliveira de Fátima;1715507;TO;5,56
Oliveira dos Brejinhos;2923209;BA;6,25
Oliveira Fortes;3145703;MG;18,24
Olivença;2706000;AL;61,68
Onça de Pitangui;3145802;MG;12,02
Onda Verde;3534005;SP;19,64
Oratórios;3145851;MG;55,21
Oriente;3534104;SP;27,83
Orindiúva;3534203;SP;24,35
Oriximiná;1505304;PA;0,63
Orizânia;3145877;MG;69,27
Orizona;5215306;GO;8,32
Orlândia;3534302;SP;131,34
Orleans;4211702;SC;43,03
Orobó;2609709;PE;157,43
Orocó;2609808;PE;24,54
Orós;2309508;CE;34,07
Ortigueira;4117305;PR;9,96
Osasco;3534401;SP;11.217,4
Oscar Bressane;3534500;SP;11,12
Osório;4313508;RS;71,39
Osvaldo Cruz;3534609;SP;126,08
Otacílio Costa;4211751;SC;20,43
Ourém;1505403;PA;31,79
Ouriçangas;2923308;BA;49,15
Ouricuri;2609907;PE;27,4
Ourilândia do Norte;1505437;PA;2,25
Ourinhos;3534708;SP;351,47
Ourizona;4117404;PR;18,06
Ouro;4211801;SC;32,93
Ouro Branco;2408508;RN;19,4
Ouro Branco;2706109;AL;58,23
Ouro Branco;3145901;MG;149,67
Ouro Fino;3146008;MG;60,13
Ouro Preto;3146107;MG;60,06
Ouro Preto do Oeste;1100155;RO;17,79
Ouro Velho;2510600;PB;22,78
Ouro Verde;3534807;SP;29,16
Ouro Verde;4211850;SC;11,57
Ouro Verde de Goiás;5215405;GO;19,43
Ouro Verde de Minas;3146206;MG;32,81
Ouro Verde do Oeste;4117453;PR;23,15
Ouroeste;3534757;SP;35,66
Ourolândia;2923357;BA;12,46
Ouvidor;5215504;GO;17,5
Pacaembu;3534906;SP;43,84
Pacajá;1505486;PA;3,47
Pacajus;2309607;CE;283,59
Pacaraima;1400456;RR;2,41
Pacatuba;2309706;CE;611,88
Pacatuba;2804904;SE;32,78
Paço do Lumiar;2107506;MA;1.145,06
Pacoti;2309805;CE;99,49
Pacujá;2309904;CE;69,89
Padre Bernardo;5215603;GO;11,13
Padre Carvalho;3146255;MG;11,33
Padre Marcos;2207207;PI;22,9
Padre Paraíso;3146305;MG;31,84
Paes Landim;2207306;PI;10,18
Pai Pedro;3146552;MG;6,61
Paial;4211876;SC;22,39
Paiçandu;4117503;PR;268,19
Paim Filho;4313607;RS;19,93
Paineiras;3146404;MG;6,63
Painel;4211892;SC;3
Pains;3146503;MG;19,3
Paiva;3146602;MG;25,23
Pajeú do Piauí;2207355;PI;3,04
Palestina;2706208;AL;113,25
Palestina;3535002;SP;16,45
Palestina de Goiás;5215652;GO;2,38
Palestina do Pará;1505494;PA;6,99
Palhano;2310001;CE;21,39
Palhoça;4211900;SC;563,75
Palma;3146701;MG;18,03
Palma Sola;4212007;SC;22,98
Palmácia;2310100;CE;79,46
Palmares;2610004;PE;160,82
Palmares do Sul;4313656;RS;13,53
Palmares Paulista;3535101;SP;117,5
Palmas;1721000;TO;135,9
Palmas;4117602;PR;30,97
Palmas de Monte Alto;2923407;BA;7,84
Palmeira;4117701;PR;23,03
Palmeira;4212056;SC;8,86
Palmeira d'Oeste;3535200;SP;27,93
Palmeira das Missões;4313706;RS;23,37
Palmeira do Piauí;2207405;PI;2,45
Palmeira dos Índios;2706307;AL;158,7
Palmeirais;2207504;PI;8,88
Palmeirândia;2107605;MA;39,57
Palmeirante;1715705;TO;1,82
Palmeiras;2923506;BA;14,02
Palmeiras de Goiás;5215702;GO;20,72
Palmeiras do Tocantins;1713809;TO;6,55
Palmeirina;2610103;PE;41,65
Palmeirópolis;1715754;TO;4,08
Palmelo;5215801;GO;37,77
Palminópolis;5215900;GO;9,79
Palmital;3535309;SP;35,73
Palmital;4117800;PR;15,94
Palmitinho;4313805;RS;54,37
Palmitos;4212106;SC;44,51
Palmópolis;3146750;MG;14,55
Palotina;4117909;PR;53,76
Panamá;5216007;GO;5,68
Panambi;4313904;RS;88,52
Pancas;3204005;ES;22,55
Panelas;2610202;PE;60,43
Panorama;3535408;SP;42,03
Pantano Grande;4313953;RS;12,14
Pão de Açúcar;2706406;AL;34,58
Papagaios;3146909;MG;25,15
Papanduva;4212205;SC;25,04
Paquetá;2207553;PI;8,81
Pará de Minas;3147105;MG;176,22
Paracambi;3303609;RJ;216,68
Paracatu;3147006;MG;11,42
Paracuru;2310209;CE;127,91
Paragominas;1505502;PA;5,46
Paraguaçu;3147204;MG;51,2
Paraguaçu Paulista;3535507;SP;41,06
Paraí;4314001;RS;59,09
Paraíba do Sul;3303708;RJ;73,65
Paraibano;2107704;MA;34,45
Paraibuna;3535606;SP;21,82
Paraipaba;2310258;CE;111,39
Paraíso;3535705;SP;39,3
Paraíso;4212239;SC;23,66
Paraíso das Águas;5006275;MS;1,09
Paraíso do Norte;4118006;PR;64,75
Paraíso do Sul;4314027;RS;19,31
Paraíso do Tocantins;1716109;TO;40,52
Paraisópolis;3147303;MG;61,72
Parambu;2310308;CE;13,59
Paramirim;2923605;BA;18,72
Paramoti;2310407;CE;19,26
Paraná;2408607;RN;48,34
Paranã;1716208;TO;0,94
Paranacity;4118105;PR;27,41
Paranaguá;4118204;PR;177,23
Paranaíba;5006309;MS;7,58
Paranaiguara;5216304;GO;6,6
Paranaíta;5106299;MT;2,42
Paranapanema;3535804;SP;19,04
Paranapoema;4118303;PR;13,63
Paranapuã;3535903;SP;28,72
Paranatama;2610301;PE;65,81
Paranatinga;5106307;MT;1,09
Paranavaí;4118402;PR;76,52
Paranhos;5006358;MS;9,89
Paraopeba;3147402;MG;38,53
Parapuã;3536000;SP;28,85
Parari;2510659;PB;8,28
Paratinga;2923704;BA;11,14
Paraty;3303807;RJ;48,95
Paraú;2408706;RN;9,34
Parauapebas;1505536;PA;38,9
Paraúna;5216403;GO;2,81
Parazinho;2408805;RN;20,78
Pardinho;3536109;SP;34,08
Pareci Novo;4314035;RS;75,13
Parecis;1101450;RO;1,62
Parelhas;2408904;RN;41,87
Pariconha;2706422;AL;41,51
Parintins;1303403;AM;16,18
Paripiranga;2923803;BA;60,16
Paripueira;2706448;AL;149,1
Pariquera-Açu;3536208;SP;53,51
Parisi;3536257;SP;34,13
Parnaguá;2207603;PI;2,95
Parnaíba;2207702;PI;371,15
Parnamirim;2403251;RN;2.037,93
Parnamirim;2610400;PE;7,13
Parnarama;2107803;MA;9,63
Parobé;4314050;RS;478,88
Passa e Fica;2409100;RN;258,59
Passa Quatro;3147600;MG;55,97
Passa Sete;4314068;RS;13,09
Passa Tempo;3147709;MG;19,74
Passa Vinte;3147808;MG;9,06
Passabém;3147501;MG;16,99
Passagem;2409209;RN;75,58
Passagem;2510709;PB;19,96
Passagem Franca;2107902;MA;12,68
Passagem Franca do Piauí;2207751;PI;6,43
Passira;2610509;PE;86,61
Passo de Camaragibe;2706505;AL;54,93
Passo de Torres;4212254;SC;139,22
Passo do Sobrado;4314076;RS;22,72
Passo Fundo;4314100;RS;262,89
Passos;3147907;MG;83,66
Passos Maia;4212270;SC;6,54
Pastos Bons;2108009;MA;11,5
Patis;3147956;MG;10,89
Pato Bragado;4118451;PR;42,28
Pato Branco;4118501;PR;170,35
Patos;2510808;PB;218,16
Patos de Minas;3148004;MG;49,91
Patos do Piauí;2207777;PI;6,77
Patrocínio;3148103;MG;31,25
Patrocínio do Muriaé;3148202;MG;51,51
Patrocínio Paulista;3536307;SP;24,07
Patu;2409308;RN;34,49
Paty do Alferes;3303856;RJ;94,23
Pau Brasil;2923902;BA;14,96
Pau D'Arco;1505551;PA;4,15
Pau D'Arco;1716307;TO;2,94
Pau D'Arco do Piauí;2207793;PI;9,02
Pau dos Ferros;2409407;RN;117,25
Paudalho;2610608;PE;210,14
Pauini;1303502;AM;0,47
Paula Cândido;3148301;MG;32,27
Paula Freitas;4118600;PR;13,45
Paulicéia;3536406;SP;21,26
Paulínia;3536505;SP;796,51
Paulino Neves;2108058;MA;17,41
Paulista;2510907;PB;20,5
Paulista;2610707;PE;3.529,97
Paulistana;2207801;PI;10,85
Paulistânia;3536570;SP;8,16
Paulistas;3148400;MG;19,9
Paulo Afonso;2924009;BA;73,08
Paulo Bento;4314134;RS;14,32
Paulo de Faria;3536604;SP;10,03
Paulo Frontin;4118709;PR;17,46
Paulo Jacinto;2706604;AL;55,51
Paulo Lopes;4212304;SC;20,31
Paulo Ramos;2108108;MA;17,41
Pavão;3148509;MG;13,39
Paverama;4314159;RS;46,42
Pavussu;2207850;PI;3,33
Pé de Serra;2924058;BA;22,19
Peabiru;4118808;PR;28,48
Peçanha;3148608;MG;17,5
Pederneiras;3536703;SP;61,62
Pedra;2610806;PE;24,71
Pedra Azul;3148707;MG;15,31
Pedra Bela;3536802;SP;41,35
Pedra Bonita;3148756;MG;42,09
Pedra Branca;2310506;CE;30,86
Pedra Branca;2511004;PB;31,99
Pedra Branca do Amapari;1600154;AP;1,34
Pedra do Anta;3148806;MG;19,12
Pedra do Indaiá;3148905;MG;11,82
Pedra Dourada;3149002;MG;39,39
Pedra Grande;2409506;RN;16,36
Pedra Lavrada;2511103;PB;20,44
Pedra Mole;2805000;SE;33,79
Pedra Preta;2409605;RN;8,27
Pedra Preta;5106372;MT;4,7
Pedralva;3149101;MG;49,36
Pedranópolis;3536901;SP;10,72
Pedrão;2924108;BA;39,34
Pedras Altas;4314175;RS;1,5
Pedras de Fogo;2511202;PB;72,93
Pedras de Maria da Cruz;3149150;MG;6,84
Pedras Grandes;4212403;SC;26,55
Pedregulho;3537008;SP;21,79
Pedreira;3537107;SP;396,19
Pedreiras;2108207;MA;141,38
Pedrinhas;2805109;SE;221,81
Pedrinhas Paulista;3537156;SP;18,41
Pedrinópolis;3149200;MG;9,34
Pedro Afonso;1716505;TO;6,96
Pedro Alexandre;2924207;BA;15,69
Pedro Avelino;2409704;RN;6,55
Pedro Canário;3204054;ES;49,65
Pedro de Toledo;3537206;SP;16,83
Pedro do Rosário;2108256;MA;13,87
Pedro Gomes;5006408;MS;1,95
Pedro II;2207900;PI;24,54
Pedro Laurentino;2207934;PI;2,82
Pedro Leopoldo;3149309;MG;213,71
Pedro Osório;4314209;RS;12,4
Pedro Régis;2512721;PB;77,69
Pedro Teixeira;3149408;MG;16,02
Pedro Velho;2409803;RN;71,74
Peixe;1716604;TO;1,76
Peixe-Boi;1505601;PA;18,4
Peixoto de Azevedo;5106422;MT;2,27
Pejuçara;4314308;RS;9,04
Pelotas;4314407;RS;202,44
Penaforte;2310605;CE;59,6
Penalva;2108306;MA;40,59
Penápolis;3537305;SP;86,71
Pendências;2409902;RN;29,29
Penedo;2706703;AL;85,19
Penha;4212502;SC;582,89
Pentecoste;2310704;CE;27,4
Pequeri;3149507;MG;36,89
Pequi;3149606;MG;20,37
Pequizeiro;1716653;TO;4,08
Perdigão;3149705;MG;49,21
Perdizes;3149804;MG;7
Perdões;3149903;MG;79,01
Pereira Barreto;3537404;SP;24,73
Pereiras;3537503;SP;39,16
Pereiro;2310803;CE;35,04
Peri Mirim;2108405;MA;27,91
Periquito;3149952;MG;28,63
Peritiba;4212601;SC;31,11
Peritoró;2108454;MA;24,83
Perobal;4118857;PR;17,57
Pérola;4118907;PR;50,29
Pérola d'Oeste;4119004;PR;30,31
Perolândia;5216452;GO;2,87
Peruíbe;3537602;SP;209,53
Pescador;3150000;MG;11,25
Pescaria Brava;4212650;SC;95,36
Pesqueira;2610905;PE;65,33
Petrolândia;2611002;PE;32,33
Petrolândia;4212700;SC;21,89
Petrolina;2611101;PE;84,79
