Municípios;Código municipal;UF;%
Balneário Piçarras;4212809;SC;sem ocorrência
Balneário Pinhal;4301636;RS;sem ocorrência
Balneário Rincão;4220000;SC;33,13
Balsa Nova;4102307;PR;15,9
Bálsamo;3504800;SP;sem ocorrência
Balsas;2101400;MA;2,51
Bambuí;3105103;MG;sem ocorrência
Banabuiú;2301851;CE;sem ocorrência
Bananal;3504909;SP;1,79
Bananeiras;2501500;PB;23,96
Bandeira;3105202;MG;sem ocorrência
Bandeira do Sul;3105301;MG;sem ocorrência
Bandeirante;4202081;SC;sem ocorrência
Bandeirantes;4102406;PR;sem ocorrência
Bandeirantes;5001508;MS;sem ocorrência
Bandeirantes do Tocantins;1703057;TO;sem ocorrência
Bannach;1501253;PA;sem ocorrência
Banzaê;2902658;BA;sem ocorrência
Barão;4301651;RS;sem ocorrência
Barão de Antonina;3505005;SP;19,85
Barão de Cocais;3105400;MG;sem ocorrência
Barão de Cotegipe;4301701;RS;sem ocorrência
Barão de Grajaú;2101509;MA;sem ocorrência
Barão de Melgaço;5101605;MT;0,18
Barão de Monte Alto;3105509;MG;sem ocorrência
Barão do Triunfo;4301750;RS;sem ocorrência
Baraúna;2401453;RN;sem ocorrência
Baraúna;2501534;PB;sem ocorrência
Barbacena;3105608;MG;0,09
Barbalha;2301901;CE;13,6
Barbosa;3505104;SP;sem ocorrência
Barbosa Ferraz;4102505;PR;sem ocorrência
Barcarena;1501303;PA;sem ocorrência
Barcelona;2401503;RN;sem ocorrência
Barcelos;1300409;AM;23,46
Bariri;3505203;SP;sem ocorrência
Barra;2902708;BA;85,79
Barra Bonita;3505302;SP;0,07
Barra Bonita;4202099;SC;sem ocorrência
Barra D'Alcântara;2201176;PI;sem ocorrência
Barra da Estiva;2902807;BA;sem ocorrência
Barra de Guabiraba;2601300;PE;sem ocorrência
Barra de Santa Rosa;2501609;PB;sem ocorrência
Barra de Santana;2501575;PB;sem ocorrência
Barra de Santo Antônio;2700508;AL;0,12
Barra de São Francisco;3200904;ES;sem ocorrência
Barra de São Miguel;2501708;PB;sem ocorrência
Barra de São Miguel;2700607;AL;sem ocorrência
Barra do Bugres;5101704;MT;sem ocorrência
Barra do Chapéu;3505351;SP;sem ocorrência
Barra do Choça;2902906;BA;0,21
Barra do Corda;2101608;MA;sem ocorrência
Barra do Garças;5101803;MT;sem ocorrência
Barra do Guarita;4301859;RS;sem ocorrência
Barra do Jacaré;4102703;PR;sem ocorrência
Barra do Mendes;2903003;BA;sem ocorrência
Barra do Ouro;1703073;TO;sem ocorrência
Barra do Piraí;3300308;RJ;2,14
Barra do Quaraí;4301875;RS;0,31
Barra do Ribeiro;4301909;RS;sem ocorrência
Barra do Rio Azul;4301925;RS;sem ocorrência
Barra do Rocha;2903102;BA;sem ocorrência
Barra do Turvo;3505401;SP;32,72
Barra dos Coqueiros;2800605;SE;0,17
Barra Funda;4301958;RS;sem ocorrência
Barra Longa;3105707;MG;sem ocorrência
Barra Mansa;3300407;RJ;0,96
Barra Velha;4202107;SC;sem ocorrência
