Municípios;Código municipal;UF;homens para cada 100 mulheres
Bom Sucesso de Itararé;3507159;SP;104,31
Bom Sucesso do Sul;4103222;PR;92,89
Bombinhas;4202453;SC;97,11
Bonfim;1400159;RR;108,18
Bonfim;3108107;MG;102,84
Bonfim do Piauí;2201929;PI;103,9
Bonfinópolis;5203559;GO;100,9
Bonfinópolis de Minas;3108206;MG;102,19
Boninal;2904001;BA;95,97
Bonito;1501600;PA;105,4
Bonito;2602308;PE;95,29
Bonito;2904050;BA;99,97
Bonito;5002209;MS;99,03
Bonito de Minas;3108255;MG;106,02
Bonito de Santa Fé;2502409;PB;99,34
Bonópolis;5203575;GO;104,15
Boqueirão;2502508;PB;97,55
Boqueirão do Leão;4302451;RS;103,35
Boqueirão do Piauí;2201945;PI;97,85
Boquim;2800670;SE;93,54
Boquira;2904100;BA;96,82
Borá;3507209;SP;102,46
Boracéia;3507308;SP;103,06
Borba;1300805;AM;110,53
Borborema;2502706;PB;100,38
Borborema;3507407;SP;98,02
Borda da Mata;3108305;MG;102,07
Borebi;3507456;SP;96,31
Borrazópolis;4103305;PR;98,89
Bossoroca;4302501;RS;104,58
Botelhos;3108404;MG;98,58
Botucatu;3507506;SP;92,68
Botumirim;3108503;MG;108,72
Botuporã;2904209;BA;100,87
Botuverá;4202701;SC;102,53
Bozano;4302584;RS;96,8
Braço do Norte;4202800;SC;98,29
Braço do Trombudo;4202859;SC;95,72
Braga;4302600;RS;100,49
Bragança;1501709;PA;100,13
Bragança Paulista;3507605;SP;94,05
Braganey;4103354;PR;100,41
