Municípios;Código municipal;UF;homens para cada 100 mulheres
Ipumirim;4207700;SC;104,77
Ipupiara;2914109;BA;99,22
Iracema;1400282;RR;112,94
Iracema;2306009;CE;98,43
Iracema do Oeste;4110656;PR;100,43
Iracemápolis;3521408;SP;98,46
Iraceminha;4207759;SC;104,73
Iraí;4310504;RS;100,05
Iraí de Minas;3131604;MG;102,37
Irajuba;2914208;BA;97,25
Iramaia;2914307;BA;104,22
Iranduba;1301852;AM;105,25
Irani;4207809;SC;104,1
Irapuã;3521507;SP;101,73
Irapuru;3521606;SP;134,45
Iraquara;2914406;BA;98
Irará;2914505;BA;92,31
Irati;4110706;PR;96,25
Irati;4207858;SC;102,05
Irauçuba;2306108;CE;102,31
Irecê;2914604;BA;92,15
Iretama;4110805;PR;102,66
Irineópolis;4207908;SC;104,03
Irituia;1503507;PA;105,76
Irupi;3202652;ES;102,48
Isaías Coelho;2204907;PI;98,11
Israelândia;5210307;GO;98,3
Itá;4208005;SC;100,43
Itaara;4310538;RS;100,58
Itabaiana;2506905;PB;92,29
Itabaiana;2802908;SE;92,08
Itabaianinha;2803005;SE;96,22
Itabela;2914653;BA;101,38
Itaberá;3521705;SP;100,32
Itaberaba;2914703;BA;93,3
Itaberaí;5210406;GO;99,56
Itabi;2803104;SE;102,95
Itabira;3131703;MG;90,59
Itabirinha;3131802;MG;95,07
Itabirito;3131901;MG;95,53
Itaboraí;3301900;RJ;92,37
Itabuna;2914802;BA;87,03
Itacajá;1710508;TO;106,2
Itacambira;3132008;MG;110,7
Itacarambi;3132107;MG;100,37
Itacaré;2914901;BA;103,36
Itacoatiara;1301902;AM;104,21
Itacuruba;2607406;PE;95,44
Itacurubi;4310553;RS;104,86
Itaeté;2915007;BA;100,03
Itagi;2915106;BA;101,42
Itagibá;2915205;BA;101,18
Itagimirim;2915304;BA;99,65
Itaguaçu;3202702;ES;98,67
Itaguaçu da Bahia;2915353;BA;104,88
Itaguaí;3302007;RJ;95,27
Itaguajé;4110904;PR;98,54
Itaguara;3132206;MG;100,43
Itaguari;5210562;GO;101,67
Itaguaru;5210604;GO;100,57
Itaguatins;1710706;TO;107,05
Itaí;3521804;SP;107,7
Itaíba;2607505;PE;99,65
Itaiçaba;2306207;CE;93,63
Itainópolis;2205003;PI;102,29
Itaiópolis;4208104;SC;106,12
Itaipava do Grajaú;2105351;MA;106,26
Itaipé;3132305;MG;95,31
Itaipulândia;4110953;PR;99,36
Itaitinga;2306256;CE;127,11
Itaituba;1503606;PA;102,07
Itajá;2404853;RN;100,38
Itajá;5210802;GO;97,12
Itajaí;4208203;SC;96,57
Itajobi;3521903;SP;99,8
Itaju;3522000;SP;100,55
Itaju do Colônia;2915403;BA;98,06
Itajubá;3132404;MG;95,86
Itajuípe;2915502;BA;95,17
Italva;3302056;RJ;94,19
Itamaraju;2915601;BA;97,14
Itamarandiba;3132503;MG;100,76
Itamarati;1301951;AM;107,06
Itamarati de Minas;3132602;MG;101,2
Itamari;2915700;BA;100,71
Itambacuri;3132701;MG;92,23
Itambaracá;4111001;PR;96,93
Itambé;2607653;PE;95,83
Itambé;2915809;BA;101,7
Itambé;4111100;PR;96,18
Itambé do Mato Dentro;3132800;MG;94,2
Itamogi;3132909;MG;100,75
Itamonte;3133006;MG;98,71
Itanagra;2915908;BA;96,28
Itanhaém;3522109;SP;92,65
Itanhandu;3133105;MG;96,26
Itanhangá;5104542;MT;113,51
Itanhém;2916005;BA;101,71
Itanhomi;3133204;MG;93,06
Itaobim;3133303;MG;98,37
Itaoca;3522158;SP;99,53
Itaocara;3302106;RJ;93,43
Itapaci;5210901;GO;100,73
Itapagipe;3133402;MG;105
Itapajé;2306306;CE;96,26
Itaparica;2916104;BA;89,35
Itapé;2916203;BA;100,68
Itapebi;2916302;BA;102,25
Itapecerica;3133501;MG;97,08
Itapecerica da Serra;3522208;SP;95,42
Itapecuru Mirim;2105401;MA;95,73
Itapejara d'Oeste;4111209;PR;97,54
Itapema;4208302;SC;96,43
Itapemirim;3202801;ES;95,95
Itaperuçu;4111258;PR;100,79
Itaperuna;3302205;RJ;93,14
Itapetim;2607703;PE;95,89
Itapetinga;2916401;BA;92,52
Itapetininga;3522307;SP;99,63
Itapeva;3133600;MG;103,14
Itapeva;3522406;SP;96,38
Itapevi;3522505;SP;95,05
Itapicuru;2916500;BA;102,49
Itapipoca;2306405;CE;98,64
Itapira;3522604;SP;95,97
Itapiranga;1302009;AM;105,71
Itapiranga;4208401;SC;102,7
Itapirapuã;5211008;GO;100,07
Itapirapuã Paulista;3522653;SP;107,22
Itapiratins;1710904;TO;107,24
Itapissuma;2607752;PE;122,13
Itapitanga;2916609;BA;102,22
Itapiúna;2306504;CE;98,85
Itapoá;4208450;SC;99,3
Itápolis;3522703;SP;95,83
Itaporã;5004502;MS;97,26
Itaporã do Tocantins;1711100;TO;105,82
Itaporanga;2507002;PB;96,15
Itaporanga;3522802;SP;96,47
Itaporanga d'Ajuda;2803203;SE;95,52
Itapororoca;2507101;PB;99,93
Itapuã do Oeste;1101104;RO;108,9
Itapuca;4310579;RS;110,77
Itapuí;3522901;SP;99,14
Itapura;3523008;SP;100,25
Itapuranga;5211206;GO;97,95
Itaquaquecetuba;3523107;SP;95,39
Itaquara;2916708;BA;99,98
Itaqui;4310603;RS;96,64
Itaquiraí;5004601;MS;103,72
Itaquitinga;2607802;PE;112,97
Itarana;3202900;ES;98,59
Itarantim;2916807;BA;103,1
Itararé;3523206;SP;94,87
Itarema;2306553;CE;103,87
Itariri;3523305;SP;98,57
Itarumã;5211305;GO;105,84
Itati;4310652;RS;105,61
Itatiaia;3302254;RJ;93,83
Itatiaiuçu;3133709;MG;101,99
Itatiba;3523404;SP;95,71
Itatiba do Sul;4310702;RS;105,91
Itatim;2916856;BA;95,32
Itatinga;3523503;SP;112,64
Itatira;2306603;CE;99,88
Itatuba;2507200;PB;97,83
Itaú;2404903;RN;94,23
Itaú de Minas;3133758;MG;96,53
Itaúba;5104559;MT;106,08
Itaubal;1600253;AP;107,29
Itauçu;5211404;GO;96,84
Itaueira;2205102;PI;101,15
Itaúna;3133808;MG;96,94
Itaúna do Sul;4111308;PR;95,19
Itaverava;3133907;MG;105,39
Itinga;3134004;MG;98,68
Itinga do Maranhão;2105427;MA;99,51
Itiquira;5104609;MT;104,24
Itirapina;3523602;SP;143,23
Itirapuã;3523701;SP;102,77
Itiruçu;2916906;BA;93,44
Itiúba;2917003;BA;101,67
Itobi;3523800;SP;103,44
Itororó;2917102;BA;96,42
Itu;3523909;SP;95,45
Ituaçu;2917201;BA;99,38
Ituberá;2917300;BA;93,72
Itueta;3134103;MG;101,63
Ituiutaba;3134202;MG;92,4
Itumbiara;5211503;GO;94,64
Itumirim;3134301;MG;98,03
Itupeva;3524006;SP;100,33
Itupiranga;1503705;PA;109,88
Ituporanga;4208500;SC;99,63
Iturama;3134400;MG;97,89
Itutinga;3134509;MG;101,96
Ituverava;3524105;SP;93,4
Iuiu;2917334;BA;101,85
Iúna;3203007;ES;97,44
Ivaí;4111407;PR;106,54
Ivaiporã;4111506;PR;94,58
Ivaté;4111555;PR;97,09
Ivatuba;4111605;PR;95,38
Ivinhema;5004700;MS;100,04
Ivolândia;5211602;GO;101,57
Ivorá;4310751;RS;102,2
Ivoti;4310801;RS;95,27
Jaboatão dos Guararapes;2607901;PE;87,17
Jaborá;4208609;SC;100,84
Jaborandi;2917359;BA;105,75
Jaborandi;3524204;SP;98,25
Jaboti;4111704;PR;102,88
Jaboticaba;4310850;RS;99,74
Jaboticabal;3524303;SP;91,09
Jaboticatubas;3134608;MG;102,7
Jaçanã;2405009;RN;98,48
Jacaraci;2917409;BA;104,19
Jacaraú;2507309;PB;95,21
Jacaré dos Homens;2703403;AL;99,1
Jacareacanga;1503754;PA;109,39
Jacareí;3524402;SP;93,14
Jacarezinho;4111803;PR;94,38
Jaci;3524501;SP;102,15
Jaciara;5104807;MT;98,38
Jacinto;3134707;MG;101,2
Jacinto Machado;4208708;SC;101,06
Jacobina;2917508;BA;91,51
Jacobina do Piauí;2205151;PI;99,33
Jacuí;3134806;MG;103,01
Jacuípe;2703502;AL;100,22
Jacuizinho;4310876;RS;112,94
Jacundá;1503804;PA;96,36
Jacupiranga;3524600;SP;98,19
Jacutinga;3134905;MG;97,75
Jacutinga;4310900;RS;94,98
Jaguapitã;4111902;PR;97,98
Jaguaquara;2917607;BA;93,33
Jaguaraçu;3135001;MG;97,45
Jaguarão;4311007;RS;92,73
Jaguarari;2917706;BA;100,69
Jaguaré;3203056;ES;99,59
Jaguaretama;2306702;CE;103,06
Jaguari;4311106;RS;95,58
Jaguariaíva;4112009;PR;97,64
Jaguaribara;2306801;CE;97,29
Jaguaribe;2306900;CE;94,16
Jaguaripe;2917805;BA;99,76
Jaguariúna;3524709;SP;94,3
Jaguaruana;2307007;CE;95,26
Jaguaruna;4208807;SC;97,13
Jaíba;3135050;MG;103,02
Jaicós;2205201;PI;95,29
Jales;3524808;SP;93,55
Jambeiro;3524907;SP;100,66
Jampruca;3135076;MG;103,89
Janaúba;3135100;MG;94,11
Jandaia;5211701;GO;102,91
Jandaia do Sul;4112108;PR;94,04
Jandaíra;2405108;RN;101,85
Jandaíra;2917904;BA;100,32
Jandira;3525003;SP;93,91
Janduís;2405207;RN;99,41
Jangada;5104906;MT;109,24
Janiópolis;4112207;PR;98,85
Januária;3135209;MG;97,45
Januário Cicco;2405306;RN;106,17
Japaraíba;3135308;MG;103,71
Japaratinga;2703601;AL;97,66
Japaratuba;2803302;SE;93,24
Japeri;3302270;RJ;105,57
Japi;2405405;RN;97,49
Japira;4112306;PR;104,36
Japoatã;2803401;SE;101,7
Japonvar;3135357;MG;103,79
Japorã;5004809;MS;102,43
Japurá;1302108;AM;112,37
Japurá;4112405;PR;96,65
Jaqueira;2607950;PE;93,56
Jaquirana;4311122;RS;103,42
Jaraguá;5211800;GO;99,44
Jaraguá do Sul;4208906;SC;97,89
Jaraguari;5004908;MS;112,03
Jaramataia;2703700;AL;94,35
Jardim;2307106;CE;95,6
Jardim;5005004;MS;98,17
Jardim Alegre;4112504;PR;100,43
Jardim de Angicos;2405504;RN;102,24
Jardim de Piranhas;2405603;RN;99,44
Jardim do Mulato;2205250;PI;101,35
Jardim do Seridó;2405702;RN;93,09
Jardim Olinda;4112603;PR;101,35
Jardinópolis;3525102;SP;107,33
Jardinópolis;4208955;SC;102,51
Jari;4311130;RS;107,63
Jarinu;3525201;SP;100,67
Jaru;1100114;RO;97,37
Jataí;5211909;GO;97,4
Jataizinho;4112702;PR;94,97
Jataúba;2608008;PE;97,25
Jateí;5005103;MS;103,87
Jati;2307205;CE;99,16
Jatobá;2105450;MA;102,25
Jatobá;2608057;PE;95,95
Jatobá do Piauí;2205276;PI;106,62
Jaú;3525300;SP;93,37
Jaú do Tocantins;1711506;TO;107,34
Jaupaci;5212006;GO;99,86
Jauru;5105002;MT;97,75
Jeceaba;3135407;MG;100,1
Jenipapo de Minas;3135456;MG;96,9
Jenipapo dos Vieiras;2105476;MA;105,76
Jequeri;3135506;MG;99,76
Jequiá da Praia;2703759;AL;100,55
Jequié;2918001;BA;92,02
Jequitaí;3135605;MG;98,9
Jequitibá;3135704;MG;104,27
Jequitinhonha;3135803;MG;103,07
Jeremoabo;2918100;BA;97,94
Jericó;2507408;PB;95,73
Jeriquara;3525409;SP;106,58
Jerônimo Monteiro;3203106;ES;96,05
Jerumenha;2205300;PI;103,67
Jesuânia;3135902;MG;105,77
Jesuítas;4112751;PR;98,23
Jesúpolis;5212055;GO;104,92
Ji-Paraná;1100122;RO;96,81
Jijoca de Jericoacoara;2307254;CE;99,09
Jiquiriçá;2918209;BA;99,75
Jitaúna;2918308;BA;102,64
Joaçaba;4209003;SC;94,7
Joaíma;3136009;MG;101,25
Joanésia;3136108;MG;100,14
Joanópolis;3525508;SP;102,67
João Alfredo;2608107;PE;90,59
João Câmara;2405801;RN;99,13
João Costa;2205359;PI;111,99
João Dias;2405900;RN;99,04
João Dourado;2918357;BA;100,42
João Lisboa;2105500;MA;97,7
João Monlevade;3136207;MG;91,28
João Neiva;3203130;ES;93,79
João Pessoa;2507507;PB;87,45
João Pinheiro;3136306;MG;102,65
João Ramalho;3525607;SP;98,68
Joaquim Felício;3136405;MG;101,78
Joaquim Gomes;2703809;AL;99,42
Joaquim Nabuco;2608206;PE;95,45
Joaquim Pires;2205409;PI;104,84
Joaquim Távora;4112801;PR;97,54
Joca Claudino;2513653;PB;96,06
Joca Marques;2205458;PI;100
Jóia;4311155;RS;105,73
Joinville;4209102;SC;96,7
Jordânia;3136504;MG;103,27
Jordão;1200328;AC;107,1
José Boiteux;4209151;SC;104,48
José Bonifácio;3525706;SP;97,06
José da Penha;2406007;RN;95,52
José de Freitas;2205508;PI;97,3
José Gonçalves de Minas;3136520;MG;101,98
José Raydan;3136553;MG;97,78
Joselândia;2105609;MA;102,99
Josenópolis;3136579;MG;104,85
Joviânia;5212105;GO;102,63
Juara;5105101;MT;104,66
Juarez Távora;2507606;PB;94,85
Juarina;1711803;TO;104,09
Juatuba;3136652;MG;100,29
Juazeirinho;2507705;PB;97,07
Juazeiro;2918407;BA;95,35
Juazeiro do Norte;2307304;CE;89,91
Juazeiro do Piauí;2205516;PI;106,33
Jucás;2307403;CE;96,26
Jucati;2608255;PE;97,45
Jucuruçu;2918456;BA;111,36
Jucurutu;2406106;RN;98,27
Juína;5105150;MT;102,68
Juiz de Fora;3136702;MG;88,68
Júlio Borges;2205524;PI;113,3
Júlio de Castilhos;4311205;RS;94,64
Júlio Mesquita;3525805;SP;95,59
Jumirim;3525854;SP;99,22
Junco do Maranhão;2105658;MA;100
Junco do Seridó;2507804;PB;98,05
Jundiá;2406155;RN;103,54
Jundiá;2703908;AL;100,2
Jundiaí;3525904;SP;93,14
Jundiaí do Sul;4112900;PR;104,73
Junqueiro;2704005;AL;94,68
Junqueirópolis;3526001;SP;109,72
Jupi;2608305;PE;95,37
Jupiá;4209177;SC;106,38
Juquiá;3526100;SP;100,19
Juquitiba;3526209;SP;101,17
Juramento;3136801;MG;99,68
Juranda;4112959;PR;97,03
Jurema;2205532;PI;112,13
Jurema;2608404;PE;96,12
Juripiranga;2507903;PB;96,04
Juru;2508000;PB;98,24
Juruá;1302207;AM;107,74
Juruaia;3136900;MG;101,56
Juruena;5105176;MT;106,95
Juruti;1503903;PA;105,77
Juscimeira;5105200;MT;103,33
Jussara;2918506;BA;105,35
Jussara;4113007;PR;98,52
Jussara;5212204;GO;98,97
Jussari;2918555;BA;101,44
Jussiape;2918605;BA;95,94
Jutaí;1302306;AM;106,14
Juti;5005152;MS;96,81
Juvenília;3136959;MG;107,05
Kaloré;4113106;PR;99,91
Lábrea;1302405;AM;109,01
Lacerdópolis;4209201;SC;98,06
Ladainha;3137007;MG;96,65
Ladário;5005202;MS;97,96
Lafaiete Coutinho;2918704;BA;104,36
Lagamar;3137106;MG;104,79
Lagarto;2803500;SE;93,71
Lages;4209300;SC;93,74
Lago da Pedra;2105708;MA;97,88
Lago do Junco;2105807;MA;100,59
Lago dos Rodrigues;2105948;MA;99,86
Lago Verde;2105906;MA;98,32
Lagoa;2508109;PB;96,48
Lagoa Alegre;2205557;PI;102,85
Lagoa Bonita do Sul;4311239;RS;107,08
Lagoa d'Anta;2406205;RN;102
Lagoa da Canoa;2704104;AL;96,2
Lagoa da Confusão;1711902;TO;108,97
Lagoa da Prata;3137205;MG;95,73
Lagoa de Dentro;2508208;PB;98,5
Lagoa de Itaenga;2608503;PE;90,81
Lagoa de Pedras;2406304;RN;100,11
Lagoa de São Francisco;2205573;PI;97,35
Lagoa de Velhos;2406403;RN;104,05
Lagoa do Barro do Piauí;2205565;PI;107,78
Lagoa do Carro;2608453;PE;91,29
Lagoa do Mato;2105922;MA;101,14
Lagoa do Ouro;2608602;PE;94,35
Lagoa do Piauí;2205581;PI;104,51
Lagoa do Sítio;2205599;PI;105,92
Lagoa do Tocantins;1711951;TO;103,59
Lagoa dos Gatos;2608701;PE;95,5
Lagoa dos Patos;3137304;MG;104,89
Lagoa dos Três Cantos;4311270;RS;99,08
Lagoa Dourada;3137403;MG;104,34
Lagoa Formosa;3137502;MG;99,54
Lagoa Grande;2608750;PE;97,65
Lagoa Grande;3137536;MG;105,95
Lagoa Grande do Maranhão;2105963;MA;107,13
Lagoa Nova;2406502;RN;95,62
Lagoa Real;2918753;BA;103,71
Lagoa Salgada;2406601;RN;99,02
Lagoa Santa;3137601;MG;92,95
Lagoa Santa;5212253;GO;97,44
Lagoa Seca;2508307;PB;94,98
Lagoa Vermelha;4311304;RS;96,41
Lagoão;4311254;RS;105,9
Lagoinha;3526308;SP;102,91
Lagoinha do Piauí;2205540;PI;102,13
Laguna;4209409;SC;94,94
Laguna Carapã;5005251;MS;98,57
Laje;2918803;BA;99,09
Laje do Muriaé;3302304;RJ;96,57
Lajeado;1712009;TO;112,47
Lajeado;4311403;RS;93,09
Lajeado do Bugre;4311429;RS;104
Lajeado Grande;4209458;SC;103,83
Lajeado Novo;2105989;MA;108,42
Lajedão;2918902;BA;96,88
Lajedinho;2919009;BA;98,93
Lajedo;2608800;PE;91,08
Lajedo do Tabocal;2919058;BA;99,95
Lajes;2406700;RN;96,93
Lajes Pintadas;2406809;RN;98,06
Lajinha;3137700;MG;101,13
Lamarão;2919108;BA;94,62
Lambari;3137809;MG;96,82
Lambari D'Oeste;5105234;MT;105,05
Lamim;3137908;MG;99,37
Landri Sales;2205607;PI;94,15
Lapa;4113205;PR;98,66
Lapão;2919157;BA;99,4
Laranja da Terra;3203163;ES;101,97
Laranjal;3138005;MG;97,32
Laranjal;4113254;PR;104,23
Laranjal do Jari;1600279;AP;102,84
Laranjal Paulista;3526407;SP;95,39
Laranjeiras;2803609;SE;91,95
Laranjeiras do Sul;4113304;PR;96,99
Lassance;3138104;MG;102,04
Lastro;2508406;PB;105,73
Laurentino;4209508;SC;101,22
Lauro de Freitas;2919207;BA;88,19
Lauro Müller;4209607;SC;98,66
Lavandeira;1712157;TO;109,27
Lavínia;3526506;SP;286,63
Lavras;3138203;MG;92,06
Lavras da Mangabeira;2307502;CE;100,3
Lavras do Sul;4311502;RS;98,25
Lavrinhas;3526605;SP;98,75
Leandro Ferreira;3138302;MG;101,58
Lebon Régis;4209706;SC;103,55
Leme;3526704;SP;96,26
Leme do Prado;3138351;MG;97,86
Lençóis;2919306;BA;97,15
Lençóis Paulista;3526803;SP;97,17
Leoberto Leal;4209805;SC;105,81
Leopoldina;3138401;MG;91,55
Leopoldo de Bulhões;5212303;GO;102,95
Leópolis;4113403;PR;97,99
Liberato Salzano;4311601;RS;101,47
Liberdade;3138500;MG;102,78
Licínio de Almeida;2919405;BA;102,12
Lidianópolis;4113429;PR;95,92
Lima Campos;2106003;MA;95,42
Lima Duarte;3138609;MG;98,35
Limeira;3526902;SP;94,83
Limeira do Oeste;3138625;MG;103,82
Limoeiro;2608909;PE;91,95
Limoeiro de Anadia;2704203;AL;97,15
Limoeiro do Ajuru;1504000;PA;107,09
Limoeiro do Norte;2307601;CE;92,96
Lindoeste;4113452;PR;102,15
Lindóia;3527009;SP;97,13
Lindóia do Sul;4209854;SC;102,18
Lindolfo Collor;4311627;RS;101,68
Linha Nova;4311643;RS;100,84
Linhares;3203205;ES;97,83
Lins;3527108;SP;92,25
Livramento;2508505;PB;97,39
Livramento de Nossa Senhora;2919504;BA;100,4
Lizarda;1712405;TO;114,06
Loanda;4113502;PR;95,84
Lobato;4113601;PR;98,23
Logradouro;2508554;PB;98,06
Londrina;4113700;PR;90,51
Lontra;3138658;MG;101,05
Lontras;4209904;SC;99,37
Lorena;3527207;SP;91,82
Loreto;2106102;MA;105,29
Lourdes;3527256;SP;99,59
Louveira;3527306;SP;98,91
Lucas do Rio Verde;5105259;MT;101,16
Lucélia;3527405;SP;125,38
Lucena;2508604;PB;97,64
Lucianópolis;3527504;SP;101,36
Luciara;5105309;MT;102,34
Lucrécia;2406908;RN;97,62
Luís Antônio;3527603;SP;100,02
Luís Correia;2205706;PI;102,57
Luís Domingues;2106201;MA;105,3
Luís Eduardo Magalhães;2919553;BA;100,6
Luís Gomes;2407005;RN;98,86
Luisburgo;3138674;MG;105,86
Luislândia;3138682;MG;103,34
Luiz Alves;4210001;SC;102,71
Luiziana;4113734;PR;97,23
Luiziânia;3527702;SP;99,53
Luminárias;3138708;MG;105,59
Lunardelli;4113759;PR;100,66
Lupércio;3527801;SP;95,05
Lupionópolis;4113809;PR;96,05
Lutécia;3527900;SP;97,84
Luz;3138807;MG;97,49
Luzerna;4210035;SC;95,81
Luziânia;5212501;GO;98,36
Luzilândia;2205805;PI;100,48
Luzinópolis;1712454;TO;103,83
Macaé;3302403;RJ;93,6
Macaíba;2407104;RN;95,91
Macajuba;2919603;BA;95,47
Maçambará;4311718;RS;104,48
Macambira;2803708;SE;94,98
Macapá;1600303;AP;95,66
Macaparana;2609006;PE;95,7
Macarani;2919702;BA;95,08
Macatuba;3528007;SP;97,69
Macau;2407203;RN;94,16
Macaubal;3528106;SP;99,55
Macaúbas;2919801;BA;98,5
Macedônia;3528205;SP;96,87
Maceió;2704302;AL;87,17
Machacalis;3138906;MG;100,84
Machadinho;4311700;RS;100,59
Machadinho D'Oeste;1100130;RO;109
Machado;3139003;MG;96,82
Machados;2609105;PE;91,47
Macieira;4210050;SC;104,84
Macuco;3302452;RJ;94,02
Macururé;2919900;BA;100,06
Madalena;2307635;CE;101
Madeiro;2205854;PI;101,76
Madre de Deus;2919926;BA;88,47
Madre de Deus de Minas;3139102;MG;99,65
Mãe d'Água;2508703;PB;95,69
Mãe do Rio;1504059;PA;96,68
Maetinga;2919959;BA;102,7
Mafra;4210100;SC;98,57
Magalhães Barata;1504109;PA;104,72
Magalhães de Almeida;2106300;MA;102,66
Magda;3528304;SP;95,37
Magé;3302502;RJ;93,73
Maiquinique;2920007;BA;100,3
Mairi;2920106;BA;98,5
Mairinque;3528403;SP;101,08
Mairiporã;3528502;SP;98,74
Mairipotaba;5212600;GO;104,06
Major Gercino;4210209;SC;101,25
Major Isidoro;2704401;AL;94,48
Major Sales;2407252;RN;98,18
Major Vieira;4210308;SC;104,77
Malacacheta;3139201;MG;96,63
Malhada;2920205;BA;103,73
Malhada de Pedras;2920304;BA;104,05
Malhada dos Bois;2803807;SE;99,5
Malhador;2803906;SE;95,81
Mallet;4113908;PR;107,25
Malta;2508802;PB;94,16
Mamanguape;2508901;PB;95,15
Mambaí;5212709;GO;103,81
Mamborê;4114005;PR;94,84
Mamonas;3139250;MG;101,24
Mampituba;4311734;RS;106,8
Manacapuru;1302504;AM;104,15
Manaíra;2509008;PB;100,23
Manaquiri;1302553;AM;108,11
Manari;2609154;PE;99,19
Manaus;1302603;AM;93,8
Mâncio Lima;1200336;AC;104,82
Mandaguaçu;4114104;PR;97,11
Mandaguari;4114203;PR;93,21
Mandirituba;4114302;PR;101,71
Manduri;3528601;SP;98,21
Manfrinópolis;4114351;PR;109,85
Manga;3139300;MG;99,6
Mangaratiba;3302601;RJ;96,63
Mangueirinha;4114401;PR;98,81
Manhuaçu;3139409;MG;96,51
Manhumirim;3139508;MG;97,42
Manicoré;1302702;AM;104,81
Manoel Emídio;2205904;PI;106,54
Manoel Ribas;4114500;PR;96,63
Manoel Urbano;1200344;AC;111,35
Manoel Viana;4311759;RS;99,38
Manoel Vitorino;2920403;BA;102,45
Mansidão;2920452;BA;105,96
Mantena;3139607;MG;93,32
Mantenópolis;3203304;ES;97,16
Maquiné;4311775;RS;103,9
Mar de Espanha;3139805;MG;91,78
Mar Vermelho;2704906;AL;97,56
Mara Rosa;5212808;GO;103,31
Maraã;1302801;AM;109,71
Marabá;1504208;PA;99,26
Marabá Paulista;3528700;SP;165,72
Maracaçumé;2106326;MA;96,19
Maracaí;3528809;SP;97,52
Maracajá;4210407;SC;100,44
Maracaju;5005400;MS;102,46
Maracanã;1504307;PA;104,83
Maracanaú;2307650;CE;92,37
Maracás;2920502;BA;96,42
Maragogi;2704500;AL;96,69
Maragogipe;2920601;BA;95,42
Maraial;2609204;PE;95,39
Marajá do Sena;2106359;MA;122,3
Maranguape;2307700;CE;94,38
Maranhãozinho;2106375;MA;102,22
Marapanim;1504406;PA;105,58
Marapoama;3528858;SP;102,71
Maratá;4311791;RS;103,46
Marataízes;3203320;ES;95,97
Marau;4311809;RS;95,36
Maraú;2920700;BA;104,17
Maravilha;2704609;AL;98,38
Maravilha;4210506;SC;98,74
Maravilhas;3139706;MG;101,9
Marcação;2509057;PB;101,55
Marcelândia;5105580;MT;106,67
Marcelino Ramos;4311908;RS;99,72
Marcelino Vieira;2407302;RN;96,76
Marcionílio Souza;2920809;BA;99,63
Marco;2307809;CE;101,9
Marcolândia;2205953;PI;99,37
Marcos Parente;2206001;PI;94,8
Marechal Cândido Rondon;4114609;PR;94,96
Marechal Deodoro;2704708;AL;93,8
Marechal Floriano;3203346;ES;99,42
Marechal Thaumaturgo;1200351;AC;110,25
Marema;4210555;SC;104,3
Mari;2509107;PB;95,56
Maria da Fé;3139904;MG;102,03
Maria Helena;4114708;PR;98,88
Marialva;4114807;PR;96,02
Mariana;3140001;MG;94,6
Mariana Pimentel;4311981;RS;105,46
Mariano Moro;4312005;RS;99,36
Marianópolis do Tocantins;1712504;TO;112,87
Mariápolis;3528908;SP;99,49
Maribondo;2704807;AL;94
Maricá;3302700;RJ;92,57
Marilac;3140100;MG;94,92
Marilândia;3203353;ES;97,78
Marilândia do Sul;4114906;PR;100,86
Marilena;4115002;PR;101,81
Marília;3529005;SP;92
Mariluz;4115101;PR;104,8
Maringá;4115200;PR;91,24
Marinópolis;3529104;SP;100,43
Mário Campos;3140159;MG;98,03
Mariópolis;4115309;PR;99,59
Maripá;4115358;PR;99,85
Maripá de Minas;3140209;MG;99,82
Marituba;1504422;PA;95,79
Marizópolis;2509156;PB;95,54
Marliéria;3140308;MG;100,35
Marmeleiro;4115408;PR;97,31
Marmelópolis;3140407;MG;102,92
Marques de Souza;4312054;RS;99,75
Marquinho;4115457;PR;106,32
Martinho Campos;3140506;MG;100,73
Martinópole;2307908;CE;98,43
Martinópolis;3529203;SP;105,88
Martins;2407401;RN;95,3
Martins Soares;3140530;MG;100,86
Maruim;2804003;SE;92,47
Marumbi;4115507;PR;96,86
Marzagão;5212907;GO;103,54
Mascote;2920908;BA;101,25
Massapê;2308005;CE;95,95
Massapê do Piauí;2206050;PI;102,25
Massaranduba;2509206;PB;97,47
Massaranduba;4210605;SC;103,41
Mata;4312104;RS;102,06
Mata de São João;2921005;BA;91,53
Mata Grande;2705002;AL;98,22
Mata Roma;2106409;MA;101,46
Mata Verde;3140555;MG;99,3
Matão;3529302;SP;96,29
Mataraca;2509305;PB;98,6
Mateiros;1712702;TO;111,22
Matelândia;4115606;PR;97,24
Materlândia;3140605;MG;96,87
Mateus Leme;3140704;MG;97,37
Mathias Lobato;3171501;MG;98,3
Matias Barbosa;3140803;MG;97,17
Matias Cardoso;3140852;MG;101,34
Matias Olímpio;2206100;PI;100,36
Matina;2921054;BA;100,82
Matinha;2106508;MA;99,46
Matinhas;2509339;PB;101,37
Matinhos;4115705;PR;94,71
Matipó;3140902;MG;97,38
Mato Castelhano;4312138;RS;98,83
Mato Grosso;2509370;PB;99,92
Mato Leitão;4312153;RS;97,2
Mato Queimado;4312179;RS;103,05
Mato Rico;4115739;PR;109,29
Mato Verde;3141009;MG;93,6
Matões;2106607;MA;101,11
Matões do Norte;2106631;MA;102,79
Matos Costa;4210704;SC;108,53
Matozinhos;3141108;MG;93,42
Matrinchã;5212956;GO;101,4
Matriz de Camaragibe;2705101;AL;94,4
Matupá;5105606;MT;103,87
Maturéia;2509396;PB;91,92
Matutina;3141207;MG;97,92
